Title,City,Name,Category
Junior Web Developer (Back-End) - Alexandria,Alexandria,Arabic Localizer,Engineering - Telecom/Technology
SAP FICO - TRM - COPA - FUND Consultant,Cairo,Galaxy Consulting Soluti...,Accounting/Finance
SAP FICO - TRM - COPA - FUND Consultant,Cairo,Galaxy Consulting Soluti...,IT/Software Development
Oracle HCM Consultant,Cairo,softprograms,Human Resources
Oracle HCM Consultant,Cairo,softprograms,IT/Software Development
Senior Analyst - Accounting,Cairo,S.C. Johnson & Son Inc,IT/Software Development
Senior Analyst - Accounting,Cairo,S.C. Johnson & Son Inc,Analyst/Research
Senior Analyst - Accounting,Cairo,S.C. Johnson & Son Inc,Engineering - Telecom/Technology
Senior Financial Analyst,Cairo,Merck Sharp & Dohme Corp,Accounting/Finance
Senior Financial Analyst,Cairo,Merck Sharp & Dohme Corp,IT/Software Development
Senior Financial Analyst,Cairo,Merck Sharp & Dohme Corp,Analyst/Research
Head of Presales - EG - EBS,Cairo,Giza Arabia Systems,IT/Software Development
Head of Presales - EG - EBS,Cairo,Giza Arabia Systems,Sales/Retail
Head of Presales - EG - EBS,Cairo,Giza Arabia Systems,Engineering - Mechanical/Electrical
Technical Trainer,Cairo,FlairsTech,IT/Software Development
Application Developer-Java & Web Technologies,Cairo,IBM WTC Egypt,Creative/Design/Art
Application Developer-Java & Web Technologies,Cairo,IBM WTC Egypt,IT/Software Development
Application Developer-Java & Web Technologies,Cairo,IBM WTC Egypt,Engineering - Telecom/Technology
Head of Technical Delivery- Government Business Solutions,Cairo,Giza Arabia Systems,IT/Software Development
Head of Technical Delivery- Government Business Solutions,Cairo,Giza Arabia Systems,Sales/Retail
Head of Technical Delivery- Government Business Solutions,Cairo,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Python Developer,Cairo,FlairsTech,IT/Software Development
English Customer Support - PREMIUM,Cairo,Sutherland,Customer Service/Support
English Customer Support - PREMIUM,Cairo,Sutherland,IT/Software Development
English Customer Support - PREMIUM,Cairo,Sutherland,Sales/Retail
Next JS developer,Cairo,Sceel.io,IT/Software Development
Next JS developer,Cairo,Sceel.io,Engineering - Telecom/Technology
En Ar Reviewer,Cairo,BayanTech,Accounting/Finance
En Ar Reviewer,Cairo,BayanTech,IT/Software Development
En Ar Reviewer,Cairo,BayanTech,Marketing/PR/Advertising
Localization Project Manager,Cairo,BayanTech,Engineering - Construction/Civil/Architecture
Localization Project Manager,Cairo,BayanTech,IT/Software Development
Localization Project Manager,Cairo,BayanTech,Project/Program Management
Offshore Team Leader (Call Center - Dispatching),Cairo,BayanTech,IT/Software Development
Offshore Team Leader (Call Center - Dispatching),Cairo,BayanTech,Sales/Retail
Offshore Team Leader (Call Center - Dispatching),Cairo,BayanTech,Engineering - Telecom/Technology
Quality Assurance Executive (data analysis- internal auditing),Cairo,BayanTech,IT/Software Development
Quality Assurance Executive (data analysis- internal auditing),Cairo,BayanTech,Quality
Quality Assurance Executive (data analysis- internal auditing),Cairo,BayanTech,Engineering - Telecom/Technology
Project Manager (Hybrid),Cairo,BayanTech,Engineering - Construction/Civil/Architecture
Project Manager (Hybrid),Cairo,BayanTech,IT/Software Development
Project Manager (Hybrid),Cairo,BayanTech,Project/Program Management
UI/UX Web Designer,Cairo,Nile Creations,Creative/Design/Art
UI/UX Web Designer,Cairo,Nile Creations,IT/Software Development
UI/UX Web Designer,Cairo,Nile Creations,Engineering - Telecom/Technology
iOS Developer,Cairo,34ML,IT/Software Development
iOS Developer,Cairo,34ML,Engineering - Telecom/Technology
VueJS Frontend Developer,Cairo,34ML,Creative/Design/Art
VueJS Frontend Developer,Cairo,34ML,IT/Software Development
VueJS Frontend Developer,Cairo,34ML,Engineering - Telecom/Technology
Software Quality Control Specialist,Cairo,Arabia for Information T...,IT/Software Development
Software Quality Control Specialist,Cairo,Arabia for Information T...,Quality
Software Quality Control Specialist,Cairo,Arabia for Information T...,Engineering - Telecom/Technology
Product Owner,Cairo,QARA,IT/Software Development
Product Owner,Cairo,QARA,Project/Program Management
Hardware Design Engineer,Giza,idaco,Creative/Design/Art
Hardware Design Engineer,Giza,idaco,IT/Software Development
flutter developer,Giza,idaco,IT/Software Development
Product Specialist (Tourism Field),Giza,Bevatel,Project/Program Management
Product Specialist (Tourism Field),Giza,Bevatel,Tourism/Travel
Business Analyst,Giza,WSC,IT/Software Development
Senior Civil Engineer (Menoufia),Monufya,Elaraby Group,Engineering - Construction/Civil/Architecture
Senior Civil Engineer (Katameya),Cairo,Elaraby Group,Engineering - Construction/Civil/Architecture
Software Project Manager,Cairo,Asset Technology Group,IT/Software Development
Software Project Manager,Cairo,Asset Technology Group,Project/Program Management
Software Project Manager,Cairo,Asset Technology Group,Engineering - Telecom/Technology
Senior Quality Assurance Testers,Cairo,Al Ahly capital holding ...,IT/Software Development
Senior Quality Assurance Testers,Cairo,Al Ahly capital holding ...,Quality
Vendor Consultant Spanish,Cairo,Amazon MENA,IT/Software Development
Vendor Consultant Spanish,Cairo,Amazon MENA,Engineering - Telecom/Technology
Vendor Consultant Spanish,Cairo,Amazon MENA,Engineering - Mechanical/Electrical
Drupal Developer,Giza,WSC,IT/Software Development
System Admin,Cairo,BayanTech,Installation/Maintenance/Repair
System Admin,Cairo,BayanTech,IT/Software Development
System Admin,Cairo,BayanTech,Engineering - Telecom/Technology
Backend Developer .Net,Giza,WSC,IT/Software Development
Senior Android Developer,Cairo,YOUXEl Technology,IT/Software Development
Technical Support Engineer - German Speaker,Alexandria,TechJump,Installation/Maintenance/Repair
Technical Support Engineer - German Speaker,Alexandria,TechJump,IT/Software Development
Technical Support Engineer - German Speaker,Alexandria,TechJump,Engineering - Telecom/Technology
Quality Assurance Tester,Cairo,Al Ahly capital holding ...,IT/Software Development
Quality Assurance Tester,Cairo,Al Ahly capital holding ...,Quality
Senior Odoo Developer,Cairo,ITSS,IT/Software Development
Technical Recruiter,Cairo,Dimofinf Operations Cent...,Administration
Technical Recruiter,Cairo,Dimofinf Operations Cent...,Human Resources
Technical Recruiter,Cairo,Dimofinf Operations Cent...,IT/Software Development
Consultant,Cairo,Robiquity,IT/Software Development
Consultant,Cairo,Robiquity,Engineering - Telecom/Technology
Associate Consultant,Cairo,Robiquity,IT/Software Development
Associate Consultant,Cairo,Robiquity,Engineering - Telecom/Technology
SR. JAVA (ADF) Developer,Cairo,egabi solutions,IT/Software Development
Oracle EBS Financial Consultant,Cairo,softprograms,Accounting/Finance
Oracle EBS Financial Consultant,Cairo,softprograms,IT/Software Development
Senior Civil Engineer (Luxor),Luxor,Elaraby Group,Engineering - Construction/Civil/Architecture
Front End Developer,Cairo,Erpplus5,IT/Software Development
Business Analyst,Cairo,Erpplus5,Accounting/Finance
Business Analyst,Cairo,Erpplus5,IT/Software Development
Business Analyst,Cairo,Erpplus5,Analyst/Research
Software Quality Control and Tester,Cairo,Erpplus5,IT/Software Development
Software Quality Control and Tester,Cairo,Erpplus5,Quality
Senior Python / Docker / Flask developer,Cairo,GetTechForce.com,IT/Software Development
Senior Full Stack Developer,Cairo,GetTechForce.com,IT/Software Development
Senior Data Engineer - Remote,Cairo,GetTechForce.com,IT/Software Development
Information Security Engineer,Cairo,Easy Cash,IT/Software Development
Information Security Engineer,Cairo,Easy Cash,Engineering - Telecom/Technology
Test Specialist:Middleware,Cairo,IBM WTC Egypt,Administration
Test Specialist:Middleware,Cairo,IBM WTC Egypt,IT/Software Development
Test Specialist:Middleware,Cairo,IBM WTC Egypt,Engineering - Telecom/Technology
Technical Lead,Cairo,LINK TSP,IT/Software Development
Technical Lead,Cairo,LINK TSP,Engineering - Telecom/Technology
Hybris backend Developer,Cairo,Efada Technology,IT/Software Development
App and Web developer,Cairo,MFG,IT/Software Development
Project Manager,Cairo,LINK TSP,IT/Software Development
Project Manager,Cairo,LINK TSP,Project/Program Management
IT Help Desk,Cairo,MedVAlley S.A.E,IT/Software Development
Senior Backend Node.js Developer - Mongo DB,Cairo,QARA,IT/Software Development
System Administrator,Cairo,MedVAlley S.A.E,IT/Software Development
Tele sales Team Leader - Brokerage,Cairo,Mubasher,Customer Service/Support
IT Administrator,Giza,Trans World Trading,IT/Software Development
IT Technical Support,Cairo,Enable,IT/Software Development
SAP FICO Consultant,Giza,Nahdet Misr Publishing G...,Accounting/Finance
SAP FICO Consultant,Giza,Nahdet Misr Publishing G...,IT/Software Development
SAP FICO Consultant,Giza,Nahdet Misr Publishing G...,Engineering - Telecom/Technology
Project Coordinator,Cairo,Giza Arabia Systems,Administration
Project Coordinator,Cairo,Giza Arabia Systems,IT/Software Development
Project Coordinator,Cairo,Giza Arabia Systems,Project/Program Management
Java Full Stack Developer,Cairo,Dedalus,IT/Software Development
.NET WPF Developer,Cairo,Premier Services and Rec...,IT/Software Development
.Net React Full-stack Developer,Cairo,Premier Services and Rec...,IT/Software Development
.Net Test Analyst,Cairo,Premier Services and Rec...,IT/Software Development
Senior Drupal Developer,Cairo,K Line Europe,IT/Software Development
Senior Technical Recruiter,Cairo,Link Datacenter,Administration
Senior Technical Recruiter,Cairo,Link Datacenter,Human Resources
Senior Technical Recruiter,Cairo,Link Datacenter,IT/Software Development
Product designer Ui UX,Cairo,etmana,Creative/Design/Art
Senior Java Developer,Giza,WSC,IT/Software Development
Selenium Automation Tester,Cairo,Yespays,IT/Software Development
Selenium Automation Tester,Cairo,Yespays,Quality
Selenium Automation Tester,Cairo,Yespays,Engineering - Telecom/Technology
Junior IT Help Desk,Cairo,Nacita,Installation/Maintenance/Repair
Junior IT Help Desk,Cairo,Nacita,IT/Software Development
Junior IT Help Desk,Cairo,Nacita,Engineering - Telecom/Technology
IT System Admin,Cairo,Delta Egypt For Lighting...,IT/Software Development
Site Engineer,Cairo,Kandeel Group,Engineering - Construction/Civil/Architecture
Virtual Project Management Internship,Cairo,Qureos,IT/Software Development
Virtual Project Management Internship,Cairo,Qureos,Marketing/PR/Advertising
Virtual Project Management Internship,Cairo,Qureos,Engineering - Telecom/Technology
Product Manager,Cairo,Bydotpy,Business Development
Product Manager,Cairo,Bydotpy,IT/Software Development
Product Manager,Cairo,Bydotpy,Project/Program Management
Technical Operations Engineer,Cairo,Cashcall,Customer Service/Support
Technical Operations Engineer,Cairo,Cashcall,IT/Software Development
Technical Operations Engineer,Cairo,Cashcall,Operations/Management
Senior Infrastructure Engineer,Giza,Lumin,IT/Software Development
Senior NET Developer,Cairo,SSC Egypt,IT/Software Development
Senior NET Developer,Cairo,SSC Egypt,Engineering - Telecom/Technology
Customer Support Representative,Cairo,International Advanced,Customer Service/Support
Customer Support Representative,Cairo,International Advanced,IT/Software Development
Customer Support Representative,Cairo,International Advanced,Sales/Retail
JR_IT Support,Cairo,ENOVA Facilities Managem...,IT/Software Development
Front End Developer,Giza,WSC,IT/Software Development
React Native UI Software Engineer,Cairo,Callvita,IT/Software Development
Full Stack Software Engineer,Cairo,Callvita,IT/Software Development
Full Stack Software Engineer,Cairo,Callvita,Engineering - Telecom/Technology
Wordpress Developer,Cairo,New Energy EV,IT/Software Development
Business Analyst,Cairo,Informatique Education,IT/Software Development
project manager,Cairo,Informatique Education,IT/Software Development
project manager,Cairo,Informatique Education,Project/Program Management
Senior Business Intelligence Specialist,Giza,Tawzef,IT/Software Development
Senior Software Engineer,Giza,Bevatel,IT/Software Development
Senior Software Engineer,Giza,Bevatel,Quality
Senior Software Engineer,Giza,Bevatel,Engineering - Telecom/Technology
Technical Support Engineer,Cairo,Wicresoft,Installation/Maintenance/Repair
Technical Support Engineer,Cairo,Wicresoft,IT/Software Development
Technical Support Engineer,Cairo,Wicresoft,Engineering - Telecom/Technology
Software Sales Representative/Manager,Cairo,Airpoint,Business Development
Software Sales Representative/Manager,Cairo,Airpoint,IT/Software Development
Software Sales Representative/Manager,Cairo,Airpoint,Sales/Retail
Digital Marketing Manager,Cairo,Fixed Solutions,IT/Software Development
Digital Marketing Manager,Cairo,Fixed Solutions,Marketing/PR/Advertising
Sales Account Manager,Giza,RDI,IT/Software Development
Sales Account Manager,Giza,RDI,Operations/Management
Sales Account Manager,Giza,RDI,Sales/Retail
SAP SD Consultant,Giza,Alromansiah,Sales/Retail
Devops Engineer,Cairo,eVision,IT/Software Development
Junior Backend Developer,Cairo,Travolic.LLc,Creative/Design/Art
Junior Backend Developer,Cairo,Travolic.LLc,IT/Software Development
Junior Backend Developer,Cairo,Travolic.LLc,Engineering - Telecom/Technology
Technical Support Specialist,Giza,Zewail City,IT/Software Development
Student Information System (SIS) Specialist,Giza,Zewail City,Installation/Maintenance/Repair
Student Information System (SIS) Specialist,Giza,Zewail City,IT/Software Development
Senior Backend PHP Developer,Giza,BeConnected,IT/Software Development
Senior Backend PHP Developer,Giza,BeConnected,Engineering - Telecom/Technology
Software Senior Sales Representative,Cairo,Simple Touch Software,Sales/Retail
Test Specialist,Cairo,IBM WTC Egypt,Administration
Test Specialist,Cairo,IBM WTC Egypt,IT/Software Development
Test Specialist,Cairo,IBM WTC Egypt,Engineering - Telecom/Technology
Senior React Native Developer,Cairo,Giza Arabia Systems,Creative/Design/Art
Senior React Native Developer,Cairo,Giza Arabia Systems,IT/Software Development
Senior React Native Developer,Cairo,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Aris Developer,Cairo,Giza Arabia Systems,Business Development
Senior Aris Developer,Cairo,Giza Arabia Systems,IT/Software Development
Senior Aris Developer,Cairo,Giza Arabia Systems,Engineering - Telecom/Technology
Presales Manager - Enterprise Business Solutions,Cairo,Giza Arabia Systems,IT/Software Development
Presales Manager - Enterprise Business Solutions,Cairo,Giza Arabia Systems,Sales/Retail
Presales Manager - Enterprise Business Solutions,Cairo,Giza Arabia Systems,Engineering - Telecom/Technology
Junior Software Engineer,Cairo,MegaSoft,IT/Software Development
Junior Software Engineer,Cairo,MegaSoft,Engineering - Telecom/Technology
Senior Administrative Assistant,Cairo,Poverty Action Lab,Administration
Senior Administrative Assistant,Cairo,Poverty Action Lab,IT/Software Development
